43,Improving Your Sleep,"This online course from Harvard Health Publishing explains why a good night’s sleep is important to your health and well-being,...",30
44,Lessons from Ebola: Preventing the Next Pandemic,"Understanding the context for the Ebola outbreak: What went right, what went wrong, and how we can all do better.",Free*
45,Managing Your Cholesterol,In this Harvard Health Publsihing online course you will learn the best ways to successfully manage your cholesterol.,30
46,Improving Global Health: Focusing on Quality and Safety,Access to healthcare services is critical – but is it enough?,Free*
47,The Sensitive Gut,In this Harvard Health Publishing course  you will learn the best ways to prevent and relieve dozens of digestive problems.,30
48,"International Finance: Policy, Regulation, and Transactions","International Finance: Policy, Regulation, and Transactions provides an overview of fundamentals and emerging policy issues for...","1,900"
49,Leadership: Creating Public Value,Learn how to face and meet today’s challenges and design a public value proposition that is both actionable and value creating.,Free*
50,"Justice Today: Money, Markets, and Morals (edX)",Explore the ethical controversies of financial markets.,Free*
51,Religious Literacy: Traditions and Scriptures,Learn how to better understand the rich and complex ways that religions function in historic and contemporary contexts.,Free*
52,Christianity Through Its Scriptures,Learn about Christianity through a study of its sacred scriptures. We will explore how diverse Christians have interpreted these...,Free*
53,Buddhism Through Its Scriptures,Learn about the rich and diverse beliefs and practices of Buddhists across time and place. Experience Buddhism through its...,Free*
54,Islam Through Its Scriptures,"Learn about the Quran, the central sacred text of Islam, through an exploration of the rich diversity of roles and...",Free*
55,Technology Entrepreneurship: Lab to Market,Explore how entrepreneurs build successful businesses by moving technology from lab to market.,Free*
56,Hinduism Through Its Scriptures,"Learn about the rich diversity of Hindu sacred texts – hymns, narratives, philosophical thought – and their interpretations.",Free*
57,Judaism Through Its Scriptures,Learn about the key beliefs and practices of Judaism through an examination of its sacred texts and their interpretation.,Free*
58,Sikhism Through Its Scriptures,This course examines the Sikh scripture from a doctrinal and historical perspective by providing an overview of Sikh teachings as...,Free*
59,China’s Political and Intellectual Foundations: From Sage Kings to Confucius,"Learn about China’s origins, its integral early thinkers, and competing states and schools of thought.",Free*
,Tytul,Opis,Cena
0,CS50's Introduction to Game Development,"Learn about the development of 2D and 3D interactive games in this hands-on course, as you explore the design of games such as...",Free*
1,Nonprofit Financial Stewardship Webinar: Introduction to Accounting and Financial Statements,The Introduction to Nonprofit Accounting and Financial Statements webinars provide a great opportunity to learn the basic...,Free*
2,PredictionX: John Snow and the Cholera Epidemic of 1854,An in-depth look at the 1854 London cholera epidemic in Soho and its importance for the field of epidemiology.,Free*
3,Public Leadership Credential,"Developed by Harvard Kennedy School faculty, this professional credential program equips you with the skills necessary to advance...",995+
4,CS50: Introduction to Computer Science,An introduction to the intellectual enterprises of computer science and the art of programming.,Free*
5,Cognitive Fitness,This online course from Harvard Health Publishing brings you information from Harvard experts on staying mentally sharp as you...,30
6,6-Week Plan For Healthy Eating,"This online course from Harvard Health Publishing outlines a simple, 6-week plan assembled by Harvard experts to overhaul your...",30
7,Back Pain: Finding Solutions for Your Aching Back,"This Harvard Health Publishing online course provides insight into the sources of back pain, providing strategies on how to...",30
8,Controlling your Blood Pressure,This online course from Harvard Health Publishing gives you the tools to control your blood pressure and cut your risk of heart...,30
9,Starting to Exercise,"This Harvard Health Publishing online course propels you forward on your fitness journey, helping you create a personalized...",30
10,Improving your Memory,This online course from Harvard Health Publishing helps demystify the way your brain works and gives you strategies to...,30
11,CS50 for Lawyers,"This course is a variant of Harvard University's introduction to computer science, CS50, designed especially for lawyers (and law...",Free*
12,"PredictionX: Omens, Oracles & Prophecies","An overview of divination systems, ranging from ancient Chinese bone burning to modern astrology.",Free*
13,CS50's Introduction to Artificial Intelligence with Python,Learn to use machine learning in Python in this introductory course on artificial intelligence.,Free*
14,Culinary Health Education Fundamentals (CHEF) Coaching—The Basics,This course offers proven strategies to counsel and motivate patients to improve their cooking habits for better health.,220
15,Systematic Approaches to Policy Design,This free online course from Harvard Kennedy School introduces approaches to analytical decision-making for policy design.,Free*
16,General Psychiatric Management for BPD,This 8-hour course offers training in an empirically validated treatment approach to borderline personality disorder (BPD) known...,25
17,Exercises for Bone Strength,Which exercises are best for better bones? This Harvard Medical School course will not just tell you; it will show you!,40
18,The Health Effects of Climate Change,"Learn how global warming impacts human health, and the ways we can diminish those impacts.",Free*
19,"Religion, Conflict and Peace",Explore the diverse and complex roles that religions play in both promoting and mitigating violence.,Free*
20,Healthy Eating for Type 2 Diabetes,This easy-to-follow online course to help you better manage diabetes through a healthy diet combined with lifestyle choices like...,30
21,Quantitative Methods for Biology,"Learn introductory programming and data analysis in MATLAB, with applications to biology and medicine.",Free*
22,Computer Science for Lawyers,Gain a deep understanding of the legal ramifications of clients’ technological decisions and policies.,"1,900"
23,Resilient Leadership,"Develop the skills to lead with courage and conviction through challenging times with this free, 35-minute Harvard Business...",Free*
24,New Ideas for Nonprofit Leaders Webinar,Professor Arthur Brooks discusses cutting-edge concepts that tie tactics of the most effective nonprofit leaders back to the...,Free*
25,Harvard Kennedy School Executive Education,"With more than 35 open-enrollment programs led by Harvard faculty, Executive Education at HKS is an invaluable educational...",Free*
26,Negotiating Salary,"Learn salary negotiation techniques with this free, 15-minute Harvard Business School (HBS) Online lesson taught by Mike Wheeler...",Free*
27,4P Model for Strategic Leadership Podcasts,A Free Podcast Series,Free*
28,The Science of Corresponding with Busy People Webinar,This free webinar from HKS professor Todd Rogers is his take on the five principles for effective communication and how to...,Free*
29,Tangible Things,"Gain an understanding of history, museum studies, and curation by looking at, organizing, and interpreting art, artifacts,...",Free*
30,Cancer Survivorship: Optimizing Care and Outcomes,Increase your awareness of comprehensive cancer survivorship care and specific areas where improved survivorship care can lead to...,275+
31,CS50's Computer Science for Business Professionals,This is CS50’s introduction to computer science for business professionals.,Free*
32,CS50's Understanding Technology,This is CS50’s introduction to technology for students who don’t (yet!) consider themselves computer persons.,Free*
33,CS50's Introduction to Programming with Scratch,A gentle introduction to programming that prepares you for subsequent courses in coding.,Free*
34,Introduction to Digital Humanities,Develop skills in digital research and visualization techniques across subjects and fields within the humanities.,Free*
35,Walking for Health,"This Harvard Medical School online course is overflowing with practical tools you need to help build your stregnth, lose weight,...",30
36,Pyramids of Giza: Ancient Egyptian Art and Archaeology,"Explore the archaeology, history, art, and hieroglyphs surrounding the famous Egyptian Pyramids at Giza. Learn about Old Kingdom...",Free*
37,Core Exercises,"This new Harvard Health Publishing online course will teach you the simple-to-do core exercises, while improving your mobility,...",30
38,The Caregiver's Guide,"This Harvard Medical School online course brings you the confidence and know-how to help you meet the unique physical,...",30
39,Lose Weight and Keep It Off,This Harvard Health Publishing online course incorporates the latest evidence-based strategies that allow you to tailor a healthy...,30
40,Positive Psychology,"This step-by-step, powerful Harvard Health Publishing online course reveals a variety of research-proven techniques and exactly...",30
41,Energy Within Environmental Constraints,A quantitative introduction to the energy system and its environmental impacts.,Free*
42,Knees and Hips,This Harvard Health Publishing interactive course will show you how to quell and conquer your knee and hip pain safely and...,30
43,Improving Your Sleep,"This online course from Harvard Health Publishing explains why a good night’s sleep is important to your health and well-being,...",30
44,Lessons from Ebola: Preventing the Next Pandemic,"Understanding the context for the Ebola outbreak: What went right, what went wrong, and how we can all do better.",Free*
45,Managing Your Cholesterol,In this Harvard Health Publsihing online course you will learn the best ways to successfully manage your cholesterol.,30
46,Improving Global Health: Focusing on Quality and Safety,Access to healthcare services is critical – but is it enough?,Free*
47,The Sensitive Gut,In this Harvard Health Publishing course  you will learn the best ways to prevent and relieve dozens of digestive problems.,30
48,"International Finance: Policy, Regulation, and Transactions","International Finance: Policy, Regulation, and Transactions provides an overview of fundamentals and emerging policy issues for...","1,900"
49,Leadership: Creating Public Value,Learn how to face and meet today’s challenges and design a public value proposition that is both actionable and value creating.,Free*
50,"Justice Today: Money, Markets, and Morals (edX)",Explore the ethical controversies of financial markets.,Free*
51,Religious Literacy: Traditions and Scriptures,Learn how to better understand the rich and complex ways that religions function in historic and contemporary contexts.,Free*
52,Christianity Through Its Scriptures,Learn about Christianity through a study of its sacred scriptures. We will explore how diverse Christians have interpreted these...,Free*
53,Buddhism Through Its Scriptures,Learn about the rich and diverse beliefs and practices of Buddhists across time and place. Experience Buddhism through its...,Free*
54,Islam Through Its Scriptures,"Learn about the Quran, the central sacred text of Islam, through an exploration of the rich diversity of roles and...",Free*
55,Technology Entrepreneurship: Lab to Market,Explore how entrepreneurs build successful businesses by moving technology from lab to market.,Free*
56,Hinduism Through Its Scriptures,"Learn about the rich diversity of Hindu sacred texts – hymns, narratives, philosophical thought – and their interpretations.",Free*
57,Judaism Through Its Scriptures,Learn about the key beliefs and practices of Judaism through an examination of its sacred texts and their interpretation.,Free*
58,Sikhism Through Its Scriptures,This course examines the Sikh scripture from a doctrinal and historical perspective by providing an overview of Sikh teachings as...,Free*
59,China’s Political and Intellectual Foundations: From Sage Kings to Confucius,"Learn about China’s origins, its integral early thinkers, and competing states and schools of thought.",Free*
,Tytul,Opis,Cena
0,CS50's Introduction to Game Development,"Learn about the development of 2D and 3D interactive games in this hands-on course, as you explore the design of games such as...",Free*
1,Nonprofit Financial Stewardship Webinar: Introduction to Accounting and Financial Statements,The Introduction to Nonprofit Accounting and Financial Statements webinars provide a great opportunity to learn the basic...,Free*
2,PredictionX: John Snow and the Cholera Epidemic of 1854,An in-depth look at the 1854 London cholera epidemic in Soho and its importance for the field of epidemiology.,Free*
3,Public Leadership Credential,"Developed by Harvard Kennedy School faculty, this professional credential program equips you with the skills necessary to advance...",995+
4,CS50: Introduction to Computer Science,An introduction to the intellectual enterprises of computer science and the art of programming.,Free*
5,Cognitive Fitness,This online course from Harvard Health Publishing brings you information from Harvard experts on staying mentally sharp as you...,30
6,6-Week Plan For Healthy Eating,"This online course from Harvard Health Publishing outlines a simple, 6-week plan assembled by Harvard experts to overhaul your...",30
7,Back Pain: Finding Solutions for Your Aching Back,"This Harvard Health Publishing online course provides insight into the sources of back pain, providing strategies on how to...",30
8,Controlling your Blood Pressure,This online course from Harvard Health Publishing gives you the tools to control your blood pressure and cut your risk of heart...,30
9,Starting to Exercise,"This Harvard Health Publishing online course propels you forward on your fitness journey, helping you create a personalized...",30
10,Improving your Memory,This online course from Harvard Health Publishing helps demystify the way your brain works and gives you strategies to...,30
11,CS50 for Lawyers,"This course is a variant of Harvard University's introduction to computer science, CS50, designed especially for lawyers (and law...",Free*
12,"PredictionX: Omens, Oracles & Prophecies","An overview of divination systems, ranging from ancient Chinese bone burning to modern astrology.",Free*
13,CS50's Introduction to Artificial Intelligence with Python,Learn to use machine learning in Python in this introductory course on artificial intelligence.,Free*
14,Culinary Health Education Fundamentals (CHEF) Coaching—The Basics,This course offers proven strategies to counsel and motivate patients to improve their cooking habits for better health.,220
15,Systematic Approaches to Policy Design,This free online course from Harvard Kennedy School introduces approaches to analytical decision-making for policy design.,Free*
16,General Psychiatric Management for BPD,This 8-hour course offers training in an empirically validated treatment approach to borderline personality disorder (BPD) known...,25
17,Exercises for Bone Strength,Which exercises are best for better bones? This Harvard Medical School course will not just tell you; it will show you!,40
18,The Health Effects of Climate Change,"Learn how global warming impacts human health, and the ways we can diminish those impacts.",Free*
19,"Religion, Conflict and Peace",Explore the diverse and complex roles that religions play in both promoting and mitigating violence.,Free*
20,Healthy Eating for Type 2 Diabetes,This easy-to-follow online course to help you better manage diabetes through a healthy diet combined with lifestyle choices like...,30
21,Quantitative Methods for Biology,"Learn introductory programming and data analysis in MATLAB, with applications to biology and medicine.",Free*
22,Computer Science for Lawyers,Gain a deep understanding of the legal ramifications of clients’ technological decisions and policies.,"1,900"
23,Resilient Leadership,"Develop the skills to lead with courage and conviction through challenging times with this free, 35-minute Harvard Business...",Free*
24,New Ideas for Nonprofit Leaders Webinar,Professor Arthur Brooks discusses cutting-edge concepts that tie tactics of the most effective nonprofit leaders back to the...,Free*
25,Harvard Kennedy School Executive Education,"With more than 35 open-enrollment programs led by Harvard faculty, Executive Education at HKS is an invaluable educational...",Free*
26,Negotiating Salary,"Learn salary negotiation techniques with this free, 15-minute Harvard Business School (HBS) Online lesson taught by Mike Wheeler...",Free*
27,4P Model for Strategic Leadership Podcasts,A Free Podcast Series,Free*
28,The Science of Corresponding with Busy People Webinar,This free webinar from HKS professor Todd Rogers is his take on the five principles for effective communication and how to...,Free*
29,Tangible Things,"Gain an understanding of history, museum studies, and curation by looking at, organizing, and interpreting art, artifacts,...",Free*
30,Cancer Survivorship: Optimizing Care and Outcomes,Increase your awareness of comprehensive cancer survivorship care and specific areas where improved survivorship care can lead to...,275+
31,CS50's Computer Science for Business Professionals,This is CS50’s introduction to computer science for business professionals.,Free*
32,CS50's Understanding Technology,This is CS50’s introduction to technology for students who don’t (yet!) consider themselves computer persons.,Free*
33,CS50's Introduction to Programming with Scratch,A gentle introduction to programming that prepares you for subsequent courses in coding.,Free*
34,Introduction to Digital Humanities,Develop skills in digital research and visualization techniques across subjects and fields within the humanities.,Free*
35,Walking for Health,"This Harvard Medical School online course is overflowing with practical tools you need to help build your stregnth, lose weight,...",30
36,Pyramids of Giza: Ancient Egyptian Art and Archaeology,"Explore the archaeology, history, art, and hieroglyphs surrounding the famous Egyptian Pyramids at Giza. Learn about Old Kingdom...",Free*
37,Core Exercises,"This new Harvard Health Publishing online course will teach you the simple-to-do core exercises, while improving your mobility,...",30
38,The Caregiver's Guide,"This Harvard Medical School online course brings you the confidence and know-how to help you meet the unique physical,...",30
39,Lose Weight and Keep It Off,This Harvard Health Publishing online course incorporates the latest evidence-based strategies that allow you to tailor a healthy...,30
40,Positive Psychology,"This step-by-step, powerful Harvard Health Publishing online course reveals a variety of research-proven techniques and exactly...",30
41,Energy Within Environmental Constraints,A quantitative introduction to the energy system and its environmental impacts.,Free*
42,Knees and Hips,This Harvard Health Publishing interactive course will show you how to quell and conquer your knee and hip pain safely and...,30
43,Improving Your Sleep,"This online course from Harvard Health Publishing explains why a good night’s sleep is important to your health and well-being,...",30
44,Lessons from Ebola: Preventing the Next Pandemic,"Understanding the context for the Ebola outbreak: What went right, what went wrong, and how we can all do better.",Free*
45,Managing Your Cholesterol,In this Harvard Health Publsihing online course you will learn the best ways to successfully manage your cholesterol.,30
46,Improving Global Health: Focusing on Quality and Safety,Access to healthcare services is critical – but is it enough?,Free*
47,The Sensitive Gut,In this Harvard Health Publishing course  you will learn the best ways to prevent and relieve dozens of digestive problems.,30
48,"International Finance: Policy, Regulation, and Transactions","International Finance: Policy, Regulation, and Transactions provides an overview of fundamentals and emerging policy issues for...","1,900"
49,Leadership: Creating Public Value,Learn how to face and meet today’s challenges and design a public value proposition that is both actionable and value creating.,Free*
50,"Justice Today: Money, Markets, and Morals (edX)",Explore the ethical controversies of financial markets.,Free*
51,Religious Literacy: Traditions and Scriptures,Learn how to better understand the rich and complex ways that religions function in historic and contemporary contexts.,Free*
52,Christianity Through Its Scriptures,Learn about Christianity through a study of its sacred scriptures. We will explore how diverse Christians have interpreted these...,Free*
53,Buddhism Through Its Scriptures,Learn about the rich and diverse beliefs and practices of Buddhists across time and place. Experience Buddhism through its...,Free*
54,Islam Through Its Scriptures,"Learn about the Quran, the central sacred text of Islam, through an exploration of the rich diversity of roles and...",Free*
55,Technology Entrepreneurship: Lab to Market,Explore how entrepreneurs build successful businesses by moving technology from lab to market.,Free*
56,Hinduism Through Its Scriptures,"Learn about the rich diversity of Hindu sacred texts – hymns, narratives, philosophical thought – and their interpretations.",Free*
57,Judaism Through Its Scriptures,Learn about the key beliefs and practices of Judaism through an examination of its sacred texts and their interpretation.,Free*
58,Sikhism Through Its Scriptures,This course examines the Sikh scripture from a doctrinal and historical perspective by providing an overview of Sikh teachings as...,Free*
59,China’s Political and Intellectual Foundations: From Sage Kings to Confucius,"Learn about China’s origins, its integral early thinkers, and competing states and schools of thought.",Free*
60,China’s First Empires and the Rise of Buddhism,"Learn about the Qin and Han dynasties, and how Buddhism and ideas of self-realization influenced the medieval period.",Free*
61,Cosmopolitan Tang: Aristocratic Culture in China,Explore the reunification of China under the Tang with a focus on aristocratic culture — from poetry to calligraphy to literature.,Free*
62,"Literati China: Examinations, Neo-Confucianism, and Later Imperial China","Explore China’s imperial period, with a focus on the Song dynasty and the role of the exam system in government.",Free*
63,"Invasions, Rebellions, and the Fall of Imperial China","An overview of modern Chinese history, including the fall of the Qing and the end of imperial China.",Free*
64,Mechanical Ventilation for COVID-19,This course will provide licensed medical professionals with an understanding of mechanical ventilation so they can assist with...,Free*
65,Creating Modern China: The Republican Period to the Present,Explore the birth of modern China with a focus on the time between the fall of the Qing and the end of World War II.,Free*
66,Global China: From the Mongols to the Ming,Explore the impact of the conquest dynasties and the world of the Ming.,Free*
67,China and Communism,"Explore the Maoist period of China, from the Communist Party to the death of Mao and the reopening of China.",Free*
68,Modern China’s Foundations: The Manchus and the Qing,Learn how the Manchus conquered the Qing and established the last of the imperial dynasties.,Free*
69,"Contemporary China: The People's Republic, Taiwan, and Hong Kong",Use the case study method to study China from the rise of Deng Xiaoping to the present.,Free*
70,Designing Organizational Structure,"Develop the skills to create and deliver value in your organization with this free, 30-minute Harvard Business School (HBS)...",Free*
71,Pricing Strategy,Learn how to evaluate and make economic decisions based on demand in this 15-minute Harvard Business School (HBS) Online lesson.,Free*
72,Identifying Competitive Risk,Explore the impact competitive risk can have on strategy in this 30-minute Harvard Business School (HBS) lesson.,Free*
73,Understanding Customer Needs,Learn how to identify customer needs through this 15-minute Harvard Business School (HBS) Online lesson.,Free*
74,Investing in Private Equity,Learn how private equity investing is evolving in this 40-minute Harvard Business School (HBS) Online lesson.,Free*
75,MalariaX: Defeating Malaria from the Genes to the Globe,"How can we eradicate malaria? Explore cutting-edge science and technology, and examine policies needed, to control and eliminate...",Free*
76,The Opioid Crisis in America,"Learn about the opioid epidemic in the United States, including information about treatment and recovery from opioid addiction.",Free*
77,Handel's Messiah and Baroque Oratorio,"Discover Handel’s Messiah in this installment of First Nights, which will explore five masterpieces of western music.",Free*
78,Beethoven's 9th Symphony and the 19th Century Orchestra,Learn about Beethoven’s monumental 9th Symphony and forms of orchestral music.,Free*
79,Monteverdi’s L’Orfeo and the Birth of Opera,"Learn about Claudio Monteverdi’s L’Orfeo, one of the first operas ever written.",Free*
80,"Stravinsky’s Rite of Spring: Modernism, Ballet, and Riots","Learn the fascinating history of Igor Stravinsky’s The Rite of Spring, one of the most challenging and rewarding ballets ever...",Free*
81,First Nights: Berlioz’s Symphonie Fantastique and Program Music in the 19th Century,"Learn about Hector Berlioz’s Symphonie Fantastique, an iconic Romantic symphony that ushered in an era of narrative “program...",Free*
82,Global News & Technology Leadership in Challenging Times,Join HKS Shorenstein Center Director and former TIME Editor in Chief Nancy Gibbs and colleagues for a panel discussion on the...,Free*
83,Innovating in Health Care,"Find innovation opportunities in health care technology, management, consulting, or investing by examining health care cost,...",Free*
84,Our Information Emergency: Navigating the Media Environment in 2021,"Led by Nancy Gibbs, this video explores the underlying forces that are shaping today’s media environment.",Free*
85,"Principles, Statistical and Computational Tools for Reproducible Data Science","Learn skills and tools that support data science and reproducible research, to ensure you can trust your own research results,...",Free*
86,"CitiesX: The Past, Present and Future of Urban Life","Explore what makes cities energizing, amazing, challenging, and perhaps humanity’s greatest invention.",Free*
87,Entrepreneurship in Emerging Economies,Explore how entrepreneurship and innovation tackle complex social problems in emerging economies.,Free*
88,Introduction to Family Engagement in Education,Learn about successful collaborations between families and educators and why they lead to improved outcomes for students and...,Free*
89,Justice,This introduction to moral and political philosophy is one of the most popular courses taught at Harvard College.,Free*
90,Improving Your Business Through a Culture of Health,"Learn how a Culture of Health can transform your business to improve the well-being of your employees and company, while...",Free*
91,"ChinaX Book Club: Five Authors, Five Books, Five Views of China","An exploration of the dynamics of contemporary China using the tools of close reading, discussion, and analysis.",Free*
92,Free Business Lessons from Harvard Business School Online,"Gain access to interactive, online business lessons taught by leading faculty and industry experts while engaging with a...",Free*
93,MicroBachelors® Program in University Chemistry,"Learn the foundations of chemistry, earn college credit, and build your way to an undergraduate degree in this online...",Free*
94,Challenges in Higher Education Webinar,Harvard Kennedy School Dean Doug Elmendorf discusses today's most pressing challenges for leaders - from a new era of online...,Free*
95,Strategic Diversity Leadership and Addressing Racial Challenges in our Cities Webinar,Explore the topic of racial injustice with the five dimensions of diversity leadership with Imam Dr. Khalil Abdur-Rashid.,Free*
96,Fat Chance: Probability from the Ground Up,Increase your quantitative reasoning skills through a deeper understanding of probability and statistics.,Free*
97,Principles of Biochemistry,"This introduction to biochemistry explores the molecules of life, starting at simple building blocks and culminating in complex...",Free*
98,Early Childhood Development: Global Strategies for Interventions,"Examine best practices in child and family policies, advocacy, financing, and pathways to scale.",Free*
99,Remote Work Revolution for Everyone,"In Remote Work Revolution for Everyone, you will learn to excel in the virtual-work landscape. You will learn how to build trust...",Free*
100,Viruses and Vaccines,Learn about how the body responds to viruses and the role vaccines can play in safely generating a protective immune response.,Free*
101,We the People: Civic Engagement in a Constitutional Democracy,Gain a foundational knowledge of American constitutional democracy while crafting your own civic voice and identity.,Free*
102,Global Feminism in the 21st Century Webinar,"Dr. Zoe Marks of Harvard Kennedy School shares key issues facing women around the world, including the gendered costs of the...",Free*
103,"Crisis Management: Adaptive Recovery, Resiliency, and Moving Forward Webinar",Juliette Kayyem of Harvard Kennedy School details how leaders can adapt their approach to move forward and prepare for the next...,Free*
104,"Women Making History: Ten Objects, Many Stories","Learn how American women created, confronted, and embraced change in the 20th century while exploring ten objects from Radcliffe’...",Free*
105,Super-Earths and Life,"Learn about the Earth, life, and how we can search for life elsewhere in the universe.",Free*
106,Better Balance,A Harvard Health Publishing step-by-step course that pinpoints the specific causes of balance problems and tells and shows you...,30
107,Fighting Inflammation,This Harvard Health Publishing interactive course reveals how and why “good” inflammation can go terribly wrong.,30
108,Fundamentals of TinyML,"Focusing on the basics of machine learning and embedded systems, such as smartphones, this course will introduce you to the “...",Free*
109,Masterpieces of World Literature,"Embark on a global journey to explore the past, present, and future of world literature.",Free*
110,Applications of TinyML,"Get the opportunity to see TinyML in practice. You will see examples of TinyML applications, and learn first-hand how to train...",Free*
111,Modern Masterpieces of World Literature,Examine how great modern writers capture the intricacies of our globalized world and how their works circulate within that world...,Free*
112,Deploying TinyML,"Learn to program in TensorFlow Lite for microcontrollers so that you can write the code, and deploy your model to your very own...",Free*
113,Ancient Masterpieces of World Literature,Examine how cultures of the ancient world defined themselves through literature and how their vision of literature contributes to...,Free*
114,Food Fermentation: The Science of Cooking with Microbes,"Explore the roles that microbes play in the production, preservation, and enhancement of diverse foods in a variety of culinary...",Free*
115,Data Science: Capstone,Show what you’ve learned from the Professional Certificate Program in Data Science.,Free*
116,Data Science: R Basics,"Build a foundation in R and learn how to wrangle, analyze, and visualize data.",Free*
117,Shakespeare’s Othello: The Moor,Explore acts of storytelling in Shakespeare’s Othello alongside world-class artists who interpret Othello’s story in new forms...,Free*
118,Shakespeare’s Hamlet: The Ghost,An exploration of the haunting figure at the heart of one of William Shakespeare’s most famous plays.,Free*
